index,text
D102,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'kanyewest', 'teamkanyedaili', 'memelyxyz', 'kany', 'elonmusk', 'twitter', 'viralvideo', 'kanyemem', 'meme', 'http', 'co', '7hffngvrfc']"
D103,"['thing', 'presid', 'anymor', 'kany', 'http', 'co', 'x7dswb82pd']"
D104,"['elon', 'block', 'laugh', 'friend', 'kany', 'http', 'co', 'aw09ip3xdv']"
D105,"['antisemit', 'attack', 'yell', 'kany', '2024', 'central', 'park', 'assault', 'polic', 'say', 'washington', 'post', 'http', 'co', 's7t5tspcxn']"
D106,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'ayqn9u7tju']"
D107,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'dot3yhca78']"
D108,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'tgtfvzjs1p']"
D109,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'rujzsad1xo']"
D110,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'dvjbvg8me3']"
D111,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'mm2nd4r3wp']"
D112,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'yxfmhqytpz']"
D113,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'hhjnzxhwzp']"
D114,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'vkv8ohdfsq']"
D115,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'ffjru4nszh']"
D116,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'amjwsb2cyh']"
D117,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'oiao24sbew']"
D118,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'sqmhipqbzd']"
D119,"['kany', 'west', 'reaction', 'twitter', 'suspens', 'kany', 'meme', 'memelyxyz', 'http', 'co', 'ondrrjzuuo']"
D120,"['realdonaldtrump', 'four', 'year', 'leav', 'kany', 'point']"
D121,"['credit', 'andrew', 'knight', 'toohotforfacebook', 'meme', 'meme', 'shitpost', 'shitpost', 'shitpost', 'thesimpson', 'globexcorpor', 'thesimpsonsmem', 'simpsonsmem', 'seinfeld', 'seinfeldmem', 'kany', 'kanyewest', 'hitlermem', 'hitler', 'nazimem', 'nazi', 'neinfeld', 'holocaust', 'holocaustmem', 'http', 'co', 'ybua1whx2k']"
D122,"['happen', 'kany', 'fall', 'face', 'earth']"
D123,"['dophe1', 'sizwelo', 'kany', 'black', 'trump', 'amp', 'thing', 'realli', 'differ']"
D124,"['fake', 'medium', 'brand', 'ie', 'balenciaga', 'ye', 'hip', 'hop', 'move', 'stock', 'crypto', 'kany', 'balenciagag', 'crypto', 'stockmarket', 'simpson', 'http', 'co', '3hvfqq00b1']"
D125,"['pov', 'kany', 'west', 'suspend', 'twitter', 'elon', 'musk', 'kanyewest', 'teamkanyedaili', 'memelyxyz', 'kany', 'elonmusk', 'elonmem', 'viralvideo', 'kanyemem', 'meme', 'http', 'co', 'gmsav5ohsw']"
D126,"['kimkardashian', 'exe', 'fast', 'food', 'commerci', 'except', 'kany']"
D127,"['prop', 'kany', 'stand', 'oppress', 'compani', 'owner', 'control', 'politician']"
D128,"['greenblatt', 'suspend', 'cancel', 'comment', 'elonmusk', 'realdonaldtrump', 'kanyewest', 'kany', 'http', 'co', 'emnnmasq8x']"
